generation,timestamp,best_fitness,median_fitness,mean_fitness,fitness_std,population_size,avg_program_size,size_std,diversity_score,novelty_score,current_environment,learning_progress,num_modules,module_usage_rate,evaluation_time,generation_time,robustness_score,noise_level
0,1754169227.3090696,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.0,0.1,1.0,1.0,0.05
1,1754169227.4897435,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,markov_simple,0.0,0,0.1,0.1,1.0,1.0,0.05
2,1754169227.6977267,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.2,0.1,1.0,1.0,0.05
3,1754169227.8860981,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.30000000000000004,0.1,1.0,1.0,0.05
4,1754169228.0379786,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.4,0.1,1.0,1.0,0.05
5,1754169228.202758,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.5,0.1,1.0,1.0,0.05
6,1754169228.3908148,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.6000000000000001,0.1,1.0,1.0,0.05
7,1754169228.5438714,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.7000000000000001,0.1,1.0,1.0,0.05
8,1754169228.7238538,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
9,1754169228.9390006,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
10,1754169229.1320806,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
11,1754169229.292355,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_complex,0.0,0,0.8,0.1,1.0,1.0,0.05
12,1754169229.4398177,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
13,1754169229.5942602,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
14,1754169229.738121,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
15,1754169229.8889356,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
16,1754169230.052654,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
17,1754169230.2446127,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
18,1754169230.4072266,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
19,1754169230.5801978,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
20,1754169230.7720141,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
21,1754169230.9343736,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
22,1754169231.0802493,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
23,1754169231.2607274,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
24,1754169231.479387,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.8,0.1,1.0,1.0,0.05
0,1754169256.273627,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.0,0.1,1.0,1.0,0.05
1,1754169256.4699888,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,markov_simple,0.0,0,0.1,0.1,1.0,1.0,0.05
2,1754169256.670398,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.2,0.1,1.0,1.0,0.05
3,1754169256.8295937,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.30000000000000004,0.1,1.0,1.0,0.05
4,1754169257.018574,0.0,0.0,0.0,0.05,12,8.0,2.0,0.0,0.0,periodic_simple,0.0,0,0.4,0.1,1.0,1.0,0.05
